id_client,nb_jours_abonne,duree_appel_jour(minutes),nb_appel_jour,cout_appel_jour,duree_appel_soiree(minutes),nb_appel_soiree,cout_appel_soiree,duree_appel_nuit(minutes),nb_appel_nuit,cout_appel_nuit,duree_appel_inter(minutes),nb_appel_inter,cout_appel_inter,active_msg_vocaux,nb_msg_vocaux,nb_reclamation,churn
 328-2236,97,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76, no,0,1, False.
 372-6497,76,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7, no,0,0, True.
 417-8617,140,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75, no,0,0, False.
 361-9621,169,100.8,112,17.14,230,69,19.55,193.6,95,8.71,9.5,2,2.57, no,0,0, False.
 421-2723,68,82.5,97,14.03,289.9,94,24.64,180,114,8.1,4.8,4,1.3, yes,22,3, False.
 327-9341,122,146.4,104,24.89,89.7,103,7.62,220,91,9.9,15.6,4,4.21, yes,34,2, False.
 383-5474,36,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92, no,0,2, False.
 328-8147,120,153.5,84,26.1,194,73,16.49,256.5,94,11.54,10.2,7,2.75, yes,27,5, False.
 373-5438,121,150.7,105,25.62,197.3,133,16.77,169,116,7.61,9.2,15,2.48, no,0,1, False.
 333-9253,64,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03, yes,19,0, False.
 347-9421,13,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48, yes,31,1, False.
 419-3167,106,128.6,83,21.86,134,114,11.39,210.6,113,9.48,11.4,2,3.08, no,0,0, False.
 414-4162,88,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13, no,0,2, False.
 416-5341,74,165.3,120,28.1,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65, no,0,1, False.
 368-8600,83,195,92,33.15,210.5,83,17.89,180.6,92,8.13,11,13,2.97, no,0,0, False.
 336-6085,49,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21, no,0,0, False.
 377-1479,111,205.5,114,34.94,219.3,99,18.64,215.9,95,9.72,14,4,3.78, yes,24,1, False.
 360-2107,50,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3, yes,22,3, False.
 405-9384,153,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16, yes,28,0, False.
 420-5179,88,192,91,32.64,127.6,127,10.85,155.6,125,7,7.5,5,2.03, no,0,1, False.
 331-3174,131,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46, yes,39,0, False.
 411-5958,79,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6,3,1.62, no,0,3, True.
 333-8180,140,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11, no,0,2, False.
 357-2679,105,213.4,100,36.28,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57, no,0,1, False.
 396-2867,54,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48, yes,39,3, False.
 341-9443,87,263.8,65,,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3, yes,22,3, False.
 341-4103,96,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84, yes,31,1, False.
 416-8701,79,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54, no,0,5, True.
 397-6109,55,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51, no,0,0, False.
 392-5587,130,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51, no,0,2, False.
 392-9342,34,151,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67, no,0,0, False.
 368-2845,139,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24, no,0,1, False.
 405-4920,109,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57, no,0,1, True.
 348-7484,65,282.3,70,47.99,152,89,12.92,225.5,93,10.15,12,4,3.24, yes,31,1, False.
 338-5207,63,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32, no,0,0, False.
 418-7846,152,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2, no,0,3, False.
 358-8729,147,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11, no,0,1, False.
 349-1943,112,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48, yes,22,2, False.
 368-8283,120,252,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59, no,0,2, False.
 345-1419,27,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48, no,0,0, False.
 358-8025,171,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32, no,0,1, False.
 383-8695,101,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19, yes,33,0, False.
 370-7565,32,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4, yes,26,1, False.
 401-6162,3,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21, yes,36,2, False.
 386-5303,151,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19, no,0,0, False.
 351-6552,60,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02, no,0,3, False.
 345-5338,119,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03, no,0,1, False.
 330-2849,43,241.9,101,41.12,129.4,121,11,264.8,104,11.92,5.9,3,1.59, no,0,1, False.
 364-6801,42,241.2,134,41,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86, no,0,0, False.
 375-3003,84,217.1,99,36.91,236,68,20.06,118.3,120,5.32,9.4,4,2.54, no,0,1, False.
 383-8878,65,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4, no,0,0, False.
 384-2372,75,222.4,78,37.81,327,111,27.8,208,104,9.36,8.7,9,2.35, no,0,1, True.
 377-7107,116,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54, no,0,1, False.
 361-1581,107,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51, no,0,0, False.
 417-7888,189,256.7,98,43.64,150.5,120,12.79,123,87,5.54,11.4,3,3.08, yes,38,3, False.
 383-8364,123,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76, no,0,1, False.
 396-2335,110,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3, no,0,3, False.
 408-4530,63,30.9,113,5.25,187,113,15.9,230.8,101,10.39,8.6,7,2.32, yes,32,1, False.
 408-6621,176,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73, no,0,3, False.
 393-7522,108,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4, no,0,1, False.
 338-7120,13,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27, yes,21,3, False.
 357-4265,71,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21, no,0,1, False.
 398-8801,88,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02, no,0,2, False.
 346-2347,137,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75, no,0,1, False.
 343-2741,82,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54, no,0,4, False.
 420-8242,92,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8,4,2.16, yes,29,3, False.
 402-7746,165,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94, no,0,6, False.
 332-1494,96,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13, no,0,1, False.
 388-6223,156,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03, no,0,1, False.
 404-9539,63,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46, no,0,0, False.
 341-7332,37,206,89,35.02,186,88,15.81,307.1,86,13.82,8.4,11,2.27, no,0,0, False.
 338-7886,98,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11,9,2.97, no,0,0, False.
 332-5596,121,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89, no,0,0, False.
 348-9945,94,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08, no,0,0, False.
 407-1896,99,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81, no,0,1, False.
 398-9408,163,160,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81, yes,23,1, False.
 369-8005,161,221.7,95,37.69,193,82,16.41,194.1,113,8.73,6.5,4,1.76, no,0,3, False.
 346-2530,99,62.9,81,10.69,231,64,19.64,168.9,121,7.6,8.5,5,2.3, no,0,1, False.
 400-5984,108,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97, no,0,1, False.
 351-1007,84,165.3,97,28.1,223.5,118,19,260.8,72,11.74,7.6,7,2.05, yes,42,3, False.
 345-5980,83,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86, yes,32,2, False.
 368-8964,139,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62, no,0,2, False.
 358-1912,69,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38, no,0,3, False.
 379-3132,129,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08, no,0,4, False.
 340-9910,106,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0,0,0, no,0,2, False.
 396-2719,158,222.8,101,37.88,203,128,17.26,210.6,106,9.48,6.9,2,1.86, no,0,2, False.
 369-6204,168,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97, yes,22,2, False.
 420-9971,115,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13, no,0,1, True.
 410-3782,57,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08, yes,30,2, False.
 404-4481,67,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94, no,0,1, False.
 383-9255,127,182.3,124,30.99,169.9,110,14.44,184,116,8.28,9.3,3,2.51, no,0,1, False.
 418-9385,78,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16, no,0,2, False.
 360-9676,100,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2, yes,38,0, False.
 327-3587,103,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94, yes,36,6, True.
 385-4715,113,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65, no,0,1, False.
 414-2695,78,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14,11,3.78, no,0,3, False.
 331-5999,129,192.8,103,32.78,177,83,15.05,216.5,118,9.74,16.4,5,4.43, yes,36,1, False.
 337-7739,57,149.3,100,,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21, no,0,2, False.
 388-6658,82,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11, no,0,1, False.
 405-6943,64,224.8,111,38.22,190,101,16.15,221.4,110,9.96,9.2,2,2.48, no,0,1, False.
 382-4084,86,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43, yes,39,2, False.
 352-8249,151,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62, yes,26,0, False.
 353-8363,94,271.2,,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11, no,0,3, True.
 416-2825,90,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8,1,2.16, no,0,2, False.
 342-6696,48,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94, no,0,2, False.
 338-9210,85,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57, yes,37,2, False.
 328-1768,93,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27, yes,20,1, False.
 406-5870,169,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76, no,0,3, False.
 398-3834,68,162.1,86,27.56,155,86,13.18,189.7,87,8.54,11,9,2.97, no,0,5, True.
 330-7754,91,145,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51, no,0,2, True.
 414-9054,68,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08, no,0,1, False.
 350-2832,101,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38, no,0,1, False.
 414-9027,67,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54, yes,20,1, False.
 337-1225,66,34,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11, no,0,0, False.
 394-6577,116,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08, yes,17,5, False.
 359-6995,158,202,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81, no,0,1, False.
 377-7561,78,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46, no,0,1, False.
 380-6631,119,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78, yes,26,1, False.
 390-8876,120,150.6,85,25.6,119,128,10.12,232.9,123,10.48,6.4,2,1.73, no,0,1, False.
 413-2201,155,184.6,102,31.38,196,117,16.66,226.5,122,10.19,7.8,1,2.11, no,0,1, False.
 374-2073,106,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35, no,0,1, False.
 417-1272,87,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11,6,2.97, no,0,1, False.
 358-1129,146,154,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21, yes,32,3, False.
 394-1211,101,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73, yes,29,0, False.
 327-1319,22,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43, yes,23,3, False.
 399-4413,90,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11,5,2.97, no,0,2, False.
 393-9985,41,209.9,105,35.68,121.9,,10.36,253.7,104,11.42,9.6,4,2.59, no,0,1, False.
 401-8377,69,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08, no,0,2, False.
 331-3202,33,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65, no,0,2, False.
 358-5953,112,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54, no,0,1, False.
 380-7624,108,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65, yes,30,2, False.
 416-5261,136,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57, yes,21,2, False.
 417-5067,128,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73, no,0,1, False.
 345-6515,27,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27, no,0,2, False.
 406-1349,161,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35, no,0,1, False.
 360-9038,33,186.8,124,31.76,261,69,22.19,317.8,103,14.3,15,5,4.05, yes,35,0, False.
 348-3444,120,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08, yes,31,0, False.
 370-2892,113,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35, no,0,2, False.
 383-4061,122,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11,2,2.97, no,0,0, True.
 391-7937,148,244.9,150,41.63,118,138,10.03,236,91,10.62,15.2,4,4.1, yes,26,2, False.
 389-4083,74,230.9,93,39.25,223,78,18.96,157.8,101,7.1,9.7,2,2.62, no,0,3, False.
 410-9633,106,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11,3,2.97, no,0,1, False.
 418-9502,179,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59, no,0,1, False.
 339-6637,149,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38, yes,28,5, True.
 356-3403,77,189.5,112,32.22,207,95,17.6,214.1,91,9.63,9.2,7,2.48, no,0,0, False.
 371-9457,127,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08, no,0,1, True.
 391-8087,80,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86, no,0,1, False.
 392-6420,106,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89, no,0,1, False.
 399-4094,61,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84, yes,20,0, False.
 378-4013,135,127.7,54,21.71,215,105,18.28,234.3,84,10.54,5.8,4,1.57, yes,24,2, False.
 386-6306,115,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67, yes,26,6, False.
 359-3618,167,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73, no,0,2, False.
 340-8875,107,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11,9,2.97, no,0,2, False.
 330-2693,112,161.9,138,27.52,200.9,114,17.08,134,134,6.03,10.7,4,2.89, no,0,1, False.
 403-7627,35,241.7,87,41.09,142,101,12.07,288.9,68,13,9.4,4,2.54, yes,27,1, False.
 342-3678,103,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54, no,0,3, False.
 344-9943,107,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02, yes,22,1, False.
 390-5686,69,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89, no,0,3, False.
 358-5826,85,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05, no,0,0, False.
 393-7826,24,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3, no,0,2, True.
 335-9786,90,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19, no,0,2, False.
 368-9860,137,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84, no,0,3, False.
 416-9522,92,281.1,88,47.79,198,103,16.83,94.3,76,4.24,7.5,3,2.03, yes,45,0, False.
 416-7307,38,137.8,86,23.43,286.3,76,24.34,167,77,7.52,14.1,3,3.81, no,0,2, False.
 397-6789,69,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21, yes,33,1, True.
 335-9501,45,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9,3,2.43, no,0,2, False.
 388-1250,73,187.3,118,31.84,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08, no,0,1, False.
 386-1374,92,197,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92, no,0,1, False.
 346-8112,113,180.4,89,30.67,129.4,124,11,166.9,124,7.51,8.4,2,2.27, yes,32,1, False.
 364-9040,68,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92, no,0,1, True.
 366-3944,135,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94, yes,22,2, False.
 331-9861,100,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29, yes,26,1, False.
 330-2881,96,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05, yes,27,1, False.
 402-9558,108,246.2,102,41.85,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54, no,0,1, False.
 341-3180,84,191,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76, no,0,0, False.
 371-8598,134,208.3,86,35.41,253.6,89,21.56,291,86,13.1,12.6,3,3.4, no,0,1, False.
 398-8385,72,253,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65, no,0,0, False.
 333-4154,83,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84, no,0,0, False.
 330-3589,137,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75, no,0,0, False.
 417-1477,56,127.1,89,,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27, yes,30,1, False.
 327-5525,61,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05, yes,16,0, False.
 363-8244,171,186.9,94,31.77,240,138,20.4,200.9,64,9.04,5.8,3,1.57, yes,17,1, False.
 419-9104,123,194,118,32.98,242,114,20.57,146.3,108,6.58,12.1,4,3.27, no,0,1, False.
 363-1560,58,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67, no,0,0, False.
 341-4075,156,123.7,96,21.03,103,80,8.76,189.4,82,8.52,13.1,4,3.54, no,0,1, False.
 366-9074,166,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13, no,0,0, False.
 367-1424,75,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35, yes,41,1, False.
 341-1191,75,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54, no,0,2, True.
 342-9480,83,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27, no,0,1, False.
 355-9360,243,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78, no,0,2, False.
 343-1538,153,185.3,127,31.5,208,73,17.68,206.1,124,9.27,15.1,3,4.08, no,0,1, False.
 335-2331,150,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54, no,0,1, False.
 335-7257,92,184,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43, yes,16,2, False.
 332-2137,80,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54, no,0,0, False.
 352-2998,134,178,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16, no,0,1, False.
 346-6941,77,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73, yes,24,1, False.
 400-2203,147,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05, no,0,2, False.
 421-2955,74,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13, no,0,1, False.
 331-6629,138,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54, no,0,1, False.
 343-6314,143,119.1,117,20.25,287.7,136,24.45,223,100,10.04,12.2,4,3.29, no,0,0, False.
 414-6638,64,194.2,147,33.01,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49, no,0,2, False.
 350-5883,120,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67, no,0,2, False.
 409-4447,121,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62, no,0,3, True.
 376-4856,88,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19, no,0,2, False.
 335-1874,87,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54, no,0,2, True.
 397-6255,100,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75, no,0,0, False.
 381-5047,104,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54, no,0,3, False.
 403-6850,27,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67, no,0,1, False.
 375-3658,81,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62, yes,31,0, False.
 341-2603,64,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19, yes,33,0, False.
 342-5062,107,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21, yes,28,, False.
 354-1558,88,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35, yes,17,1, False.
 351-9537,111,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9,6,2.43, no,0,3, False.
 401-1252,77,239.2,114,40.66,150,115,12.75,160.8,81,7.24,10.3,2,2.78, no,0,5, False.
 366-9538,67,120.9,58,20.55,235,88,19.98,95.1,130,4.28,11.4,11,3.08, no,0,2, False.
 364-7622,102,224.7,81,38.2,129.4,112,11,167.6,109,7.54,15.8,6,4.27, no,0,1, False.
 393-9918,146,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94, yes,19,1, False.
 376-4484,144,283.9,98,48.26,192,109,16.32,196.3,85,8.83,10,4,2.7, yes,51,1, False.
 410-6791,96,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78, no,0,1, True.
 343-2392,70,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78, yes,31,1, False.
 408-4323,149,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46, no,0,0, False.
 395-1718,129,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48, no,0,2, False.
 354-9492,166,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94, no,0,0, False.
 367-8168,136,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97, no,0,3, True.
 340-3500,149,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,9.6,3,2.59, no,0,3, False.
 369-4962,70,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,7.6,6,2.05, no,0,3, False.
 334-8967,120,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62, yes,24,2, False.
 402-2377,66,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67, no,0,2, False.
 366-3917,104,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43, no,0,1, False.
 333-3531,160,176.2,90,29.95,196,115,16.66,263.9,95,11.88,9.2,4,2.48, no,0,1, False.
 333-8954,129,205,94,34.85,165.4,103,14.06,185,81,8.32,11.7,8,3.16, yes,37,1, False.
 374-9203,93,267.9,114,45.54,223,74,18.96,262.7,90,11.82,11.3,3,3.05, no,0,3, True.
 334-3289,169,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67, no,0,2, False.
 353-7822,58,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02, no,0,1, False.
 350-1422,75,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54, yes,38,3, False.
 385-8406,45,207.6,71,35.29,152.7,94,12.98,217.8,125,9.8,12.4,13,3.35, no,0,1, False.
 380-7277,155,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,8.9,4,2.4, no,0,3, False.
 352-1798,52,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67, no,0,4, False.
 385-7922,119,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3, yes,27,0, False.
 353-7730,86,141.3,72,24.02,154.3,95,13.12,210.6,91,9.48,8.2,5,2.21, no,0,1, False.
 337-7163,42,196.5,89,33.41,241.3,123,20.51,143.2,,6.44,4,7,1.08, no,0,0, False.
 348-5567,127,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2, no,0,2, False.
 420-9575,123,105,150,17.85,251.6,90,21.39,258,93,11.61,14.9,5,4.02, no,0,0, False.
 366-3358,98,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3, no,0,4, True.
 359-9972,149,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94, yes,43,1, False.
